#;Метка;Значение;Корпус;Сылка
1;C1, C2, C3, C4;10uF;1206;
2;D1;Светодиод зеленый;1206;
3;D2;Светодиод желтый;1206;
4;D3;Светодиод красный;1206;
5;D4;1N5819;SOD-123;http://ali.pub/41bq8l
6;J1;;MicroUSB-1;http://ali.pub/41bp3k
7;R1, R3;1R;1206;
8;R2;4K7;1206;
9;R4, R5, R6, R9, R11, R13;10K;1206;
10;R7, R8, R14;1K;1206;
11;R10;100K;1206;
12;R12;2.4K;1206;
13;S1, S2, S3;Кнопка тактовая;KSR-G;
14;S4;Переключатель боковой 2мм;;http://ali.pub/41bgo1
15;U1;TP4056;SOT8;http://ali.pub/41bbbc
16;U2;ESP8266-12S;;http://ali.pub/41b4jw
17;U3;AP2112;SOT23-5;http://ali.pub/41bie2
18;XP1,XP2;;PLS 2.54;
19;XS1;OLED ;;http://ali.pub/41b6vi
20;;Аккумулятор (300-1500) подходящий по размеру;;
